2024-05-29 09:31:40.313 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 17.0.11 with PID 17272 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/classes started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:55:49.542 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 834b4172-2429-4ac4-9f49-8ee95aabb98a | greeting fajra
2024-05-29 10:55:49.548 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 834b4172-2429-4ac4-9f49-8ee95aabb98a | greeting fajra
2024-05-29 10:55:53.266 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 547a372d-7711-4cd1-a20b-ad7a1bf864de | greeting cinusx
2024-05-29 10:55:53.270 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 547a372d-7711-4cd1-a20b-ad7a1bf864de | greeting cinusx
2024-05-29 10:55:53.270 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 547a372d-7711-4cd1-a20b-ad7a1bf864de | greeting cinusx
2024-05-29 10:56:03.891 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | ae6a38f4-0970-4a0a-a1d5-e5ab76de79d3 | greeting cinusx
2024-05-29 10:56:03.894 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | ae6a38f4-0970-4a0a-a1d5-e5ab76de79d3 | greeting cinusx
2024-05-29 10:56:03.896 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | ae6a38f4-0970-4a0a-a1d5-e5ab76de79d3 | greeting cinusx
2024-05-29 10:56:05.907 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 3d0c9f69-7ed0-43e2-b9d4-30c569513d4f | greeting cinusx
2024-05-29 10:56:05.909 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 3d0c9f69-7ed0-43e2-b9d4-30c569513d4f | greeting cinusx
2024-05-29 10:56:05.911 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 3d0c9f69-7ed0-43e2-b9d4-30c569513d4f | greeting cinusx
2024-05-29 10:56:06.510 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 75bf719c-8f4f-4e2d-a4be-bc7b95e13741 | greeting cinusx
2024-05-29 10:56:06.511 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 75bf719c-8f4f-4e2d-a4be-bc7b95e13741 | greeting cinusx
2024-05-29 10:56:06.511 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 75bf719c-8f4f-4e2d-a4be-bc7b95e13741 | greeting cinusx
2024-05-29 10:56:06.742 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 36ed07cf-4024-42c4-a61e-db5c49d55a18 | greeting cinusx
2024-05-29 10:56:06.744 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 36ed07cf-4024-42c4-a61e-db5c49d55a18 | greeting cinusx
2024-05-29 10:56:06.745 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 36ed07cf-4024-42c4-a61e-db5c49d55a18 | greeting cinusx
2024-05-29 10:56:24.771 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 2ab31327-853f-4b14-9119-610d67ed378b | greeting cinusx
2024-05-29 10:56:24.774 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 2ab31327-853f-4b14-9119-610d67ed378b | greeting cinusx
2024-05-29 10:56:24.775 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 2ab31327-853f-4b14-9119-610d67ed378b | greeting cinusx
2024-05-29 10:56:30.184 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 34994e8c-670a-4668-89cc-7d28d6ec3331 | greeting cinusx
2024-05-29 10:56:30.186 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 34994e8c-670a-4668-89cc-7d28d6ec3331 | greeting cinusx
2024-05-29 10:56:30.186 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 34994e8c-670a-4668-89cc-7d28d6ec3331 | greeting cinusx
2024-05-29 10:58:47.259 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 22917 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:58:47.270 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:58:48.179 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 10:58:48.184 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.288 seconds (process running for 3.544)
2024-05-29 10:59:33.840 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | e9370de8-c743-4641-b146-1e005e427fe6 | greeting cinusx
2024-05-29 10:59:33.842 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | e9370de8-c743-4641-b146-1e005e427fe6 | greeting cinusx
2024-05-29 10:59:33.842 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | e9370de8-c743-4641-b146-1e005e427fe6 | greeting cinusx
2024-05-29 11:02:34.556 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 22942 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 11:02:34.567 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:02:35.451 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 11:02:35.455 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.252 seconds (process running for 3.578)
2024-05-29 11:33:53.871 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 23059 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 11:33:53.881 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:33:54.779 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 11:33:54.783 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.264 seconds (process running for 3.596)
2024-05-29 11:34:26.958 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 23069 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 11:34:26.969 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:34:27.972 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 11:34:27.977 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.378 seconds (process running for 3.487)
2024-05-29 11:35:51.774 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 23081 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 11:35:51.785 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:35:52.780 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 11:35:52.785 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.378 seconds (process running for 3.582)
2024-05-29 11:37:38.233 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 23127 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 11:37:38.245 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:37:39.160 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 11:37:39.164 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.287 seconds (process running for 3.416)
2024-05-29 11:49:35.231 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 23786 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 11:49:35.248 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:49:36.817 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 11:49:37.285 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 11:49:37.298 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 3.616 seconds (process running for 5.714)
2024-05-29 11:49:56.326 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 9f41b5ea-eec7-44d2-b50e-c767b79642a0 | greeting cinusx
2024-05-29 11:49:56.329 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 9f41b5ea-eec7-44d2-b50e-c767b79642a0 | greeting cinusx
2024-05-29 11:49:56.334 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 9f41b5ea-eec7-44d2-b50e-c767b79642a0 | greeting cinusx
2024-05-29 11:52:41.486 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 23821 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 11:52:41.503 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:52:43.055 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 11:52:43.521 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 11:52:43.534 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 3.551 seconds (process running for 5.567)
2024-05-29 12:00:29.365 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 24108 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 12:00:29.382 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 12:00:30.939 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 12:00:31.393 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 12:00:31.411 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 3.558 seconds (process running for 5.578)
2024-05-29 12:01:16.164 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | ff0a7eda-2694-4a97-a6f0-979cf941ec73 | greeting cinusx
2024-05-29 12:01:16.169 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | ff0a7eda-2694-4a97-a6f0-979cf941ec73 | greeting cinusx
2024-05-29 12:01:16.170 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | ff0a7eda-2694-4a97-a6f0-979cf941ec73 | greeting cinusx
2024-05-29 12:01:24.697 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | fcf28796-a933-4b2b-82ff-82438821aade | greeting cinusx
2024-05-29 12:01:24.699 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | fcf28796-a933-4b2b-82ff-82438821aade | greeting cinusx
2024-05-29 12:01:24.700 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | fcf28796-a933-4b2b-82ff-82438821aade | greeting cinusx
2024-05-29 12:04:26.073 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 24268 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 12:04:26.088 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 12:04:27.618 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 12:04:28.070 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 12:04:28.082 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 3.493 seconds (process running for 5.27)
2024-05-29 12:04:52.905 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 7f05b229-f149-4551-b57a-bdadcb61b323 | greeting cinusx
2024-05-29 12:04:52.907 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 7f05b229-f149-4551-b57a-bdadcb61b323 | greeting cinusx
2024-05-29 12:04:52.908 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 7f05b229-f149-4551-b57a-bdadcb61b323 | greeting cinusx
2024-05-29 12:05:18.881 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 8ea3cb23-6771-4cd5-872a-bf83008dfa1d | greeting cinusx
2024-05-29 12:05:18.884 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 8ea3cb23-6771-4cd5-872a-bf83008dfa1d | greeting cinusx
2024-05-29 12:05:18.885 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 8ea3cb23-6771-4cd5-872a-bf83008dfa1d | greeting cinusx
2024-05-29 12:42:32.082 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 26276 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 12:42:32.098 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 12:42:33.594 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 12:42:34.057 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
